provincia,comune,numero_fascicolo,regione,indirizzo,stato,cup,tipologia_beneficiario,tipologia_intervento,importo_richiesto,importo_concesso,importo_liquidato,flag_superbonus,area_kmq,popolazione_residente,pro_com_t,url_opencup
TE,CAMPLI,1306700800000124392020,ABRUZZO,VIA TAORMINA,Chiuso,B78I21000680001,Singolo Proprietario,RCR-CI-L0,112280.97,107749.93,124561.48,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B78I21000680001
TE,CAMPLI,1306700800000026342019,ABRUZZO,via NAPOLI,Chiuso,B78I21001940001,Singolo Proprietario,RCR-CI-L0,44970.14,44660.39,51347.4,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B78I21001940001
TE,CAMPLI,1306700800000117262020,ABRUZZO,Via Del Sole,Chiuso,B78I21000800001,Singolo Proprietario,RCR-CI-L0,80287.89,72714.46,77663.37,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B78I21000800001
TE,CAMPLI,1306700800000346612022,ABRUZZO,Via Napoli,Chiuso,B73E22001250001,Singolo Proprietario,RCR-CI-L0,1873.47,1873.47,1767.06,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E22001250001
TE,CAMPLI,1306700800000012342018,ABRUZZO,VIA DAMIANO CHIESA,Chiuso,B78I21000470008,,RCR-CI-L0,99189.83,86348.69,92033.63,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B78I21000470008
TE,CAMPLI,1306700800000011802018,ABRUZZO,Via Duca D'Aosta,Chiuso,B73E23000070001,Singolo Proprietario,RCR-CI-L0,69052.65,69734.57,67603,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000070001
TE,CAMPLI,1306700800000365072022,ABRUZZO,via della Misericordia,Chiuso,B73E22001390001,Delegato,RCR-CI-L0,15977,16788.07,16339.72,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E22001390001
TE,CAMPLI,1306700800000417062022,ABRUZZO,C.da Cognoli,Chiuso,B73E23000630001,Singolo Proprietario,RCR-CI-L0,108969.87,108969.86,107747.52,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000630001
TE,CAMPLI,1306700800000420842022,ABRUZZO,C.da Cognoli,Aperto,B73E24000190001,Singolo Proprietario,RCR-CI-L0,46702.69,46702.68,0,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E24000190001
TE,CAMPLI,1306700800002502222023,ABRUZZO,VIA AMINTORE FANFANI,Chiuso,B73E23000890001,Delegato di condominio non registrato,RCR-CI-L0,10157.79,10157.79,10136.44,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000890001
TE,CAMPLI,1306700800002635552023,ABRUZZO,Villa Camera- Via delle Rose,Chiuso,B73E23000760001,Delegato di condominio non registrato,RCR-CI-L0,49107.22,49107.22,49107.22,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000760001
TE,CAMPLI,1306700800002849762023,ABRUZZO,VIA SAN PIO DA PIETRELCINA,Chiuso,B73E23000640001,Delegato,RCR-CI-L0,5856.79,5938.54,5395.63,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000640001
TE,CAMPLI,1306700800002854862023,ABRUZZO,VIA ALCIDE DE GASPERI,Aperto,B73E23000790001,Delegato di condominio non registrato,RCR-CI-L0,3181.99,3181.99,0,no,73.4239,6536,067008,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73E23000790001
TE,CASTELLI,1306701200000137232020,ABRUZZO,VIA C.ROSA,Chiuso,B28I21000490001,,RCR-CI-L0,64964.04,64703.07,63900.4,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21000490001
TE,CASTELLI,1306701200000022202018,ABRUZZO,Frazione Palombara,Chiuso,B29H20000170001,Persona fisica avente altro titolo,RCR-CI-PROD,49476.47,38369.12,39224.97,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B29H20000170001
TE,CASTELLI,1306701200000002132017,ABRUZZO,FRAZIONE COLLEDORO,Chiuso,B21G19000380001,,RCR-CI-L0,58932.03,53849.87,51716,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B21G19000380001
TE,CASTELLI,1306701200000362222022,ABRUZZO,Via Scesa del Borgo,Chiuso,B23E23000260001,Singolo Proprietario,RCR-CI-L0,26796.39,26796.39,23444.54,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000260001
TE,CASTELLI,1306701200000344472022,ABRUZZO,CONTRADA FAIANO,Chiuso,B23E22000470008,Rappresentante legale,RCR-CI-L0,61000.02,54279.1,40621.92,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000470008
TE,CASTELLI,1306701200000001792017,ABRUZZO,VIA CARLO ANTONIO GRUE,Chiuso,B26B18000000008,,RCR-CI-L0,116726.28,104957.76,75789.78,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B26B18000000008
TE,CASTELLI,1306701200000153542020,ABRUZZO,FRAZIONE PALOMBARA,Chiuso,B23E23000080008,Delegato,RCR-CI-RES,146747.21,144503.33,143785.15,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000080008
TE,CASTELLI,1306701200000024502019,ABRUZZO,Frazione Palombara,Chiuso,B28I21001160001,Singolo Proprietario,RCR-CI-L0,49373.99,49373.99,45955.99,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21001160001
TE,CASTELLI,1306701200000012352018,ABRUZZO,CONTRADA CARRARO,Chiuso,B29H20000280001,Singolo Proprietario,RCR-CI-PROD,58053.29,55852.95,76437.84,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B29H20000280001
TE,CASTELLI,1306701200000352602022,ABRUZZO,CONTRADA FAIANO,Chiuso,B23E22000750001,Singolo Proprietario,RCR-CI-L0,44735.62,19358.44,19314.32,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000750001
TE,CASTELLI,1306701200000004292017,ABRUZZO,c/da FAIANO,Chiuso,B28I21001170001,,RCR-CI-L0,50962.56,48126.85,52587.68,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21001170001
TE,CASTELLI,1306701200000022282018,ABRUZZO,frazione befaro-capuani,Chiuso,B29H20000180001,,RCR-CI-PROD,41658.69,40641.02,37987.7,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B29H20000180001
TE,CASTELLI,1306701200000026092019,ABRUZZO,CONTRADA FAIANO VILLAGGIO ARTIGIANO,Chiuso,B25C20000440008,Rappresentante legale,RCR-CI-PROD,436827.21,403511.26,450080.49,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B25C20000440008
TE,CASTELLI,1306701200000360722022,ABRUZZO,F.ne Befaro - Ciarlotti,Chiuso,B23E23000270001,Singolo Proprietario,RCR-CI-L0,53763.42,53763.42,51819.41,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000270001
TE,CASTELLI,1306701200000167442020,ABRUZZO,CONTRADA PATIELLO,Chiuso,B23E22000050008,Delegato,RCR-CI-RES,47215.24,47222.51,47222.32,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000050008
TE,CASTELLI,1306701200000009952018,ABRUZZO,Località Contrada Corneto - S.P. Castelli-Rigopiano,Chiuso,B28I21001070001,Persona fisica avente altro titolo,RCR-CI-L0,91898.79,90807.3,98368.59,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21001070001
TE,CASTELLI,1306701200000351702022,ABRUZZO,FRAZIONE BEFARO,Chiuso,B23E22000730001,Singolo Proprietario,RCR-CI-L0,19320.66,10802.18,9596.36,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000730001
TE,CASTELLI,1306701200000027542019,ABRUZZO,FRAZIONE BEFARO,Chiuso,B25C20000470008,,RCR-CI-PROD,53379.46,45749.04,41624.72,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B25C20000470008
TE,CASTELLI,1306701200000359122022,ABRUZZO,BIVIO VILLA ROSSI,Chiuso,B23E22000550001,Singolo Proprietario,RCR-CI-L0,8801.71,8801.71,8351.63,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000550001
TE,CASTELLI,1306701200000349472022,ABRUZZO,c.da Faiano,Chiuso,B23E22000460001,Delegato,RCR-CI-L0,18094.26,18094.26,17551.7,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000460001
TE,CASTELLI,1306701200000339552022,ABRUZZO,BIVIO VILLA ROSSI,Chiuso,B23E22000510001,Singolo Proprietario,RCR-CI-L0,11128.04,11128.05,10705.75,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000510001
TE,CASTELLI,1306701200000017212018,ABRUZZO,VIA FRAZIONE BEFARO LOCALITA' FANESI,Chiuso,B23E22000280001,Delegato di condominio non registrato,RCR-CI-L0,71635.88,69931.55,80375.45,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000280001
TE,CASTELLI,1306701200000016302018,ABRUZZO,CONTRADA FAIANO,Chiuso,B23E22000240001,Singolo Proprietario,RCR-CI-L0,59945.04,59945.04,81691.93,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000240001
TE,CASTELLI,1306701200000028742019,ABRUZZO,FRAZIONE CORAZZANO,Chiuso,B28I21000670001,,RCR-CI-L0,61584.71,53522.82,59837.18,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21000670001
TE,CASTELLI,1306701200000354732022,ABRUZZO,F.ne Colledoro,Chiuso,B23E23000240001,Delegato di condominio non registrato,RCR-CI-L0,40029.77,32728.7,30518.06,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000240001
TE,CASTELLI,1306701200000378742022,ABRUZZO,FRAZIONE COLLEDORO,Chiuso,B23E22000740001,Delegato,RCR-CI-L0,12721.52,12721.52,11987.68,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000740001
TE,CASTELLI,1306701200000016112018,ABRUZZO,Contrada Corazzano,Chiuso,B25C20000460001,,RCR-CI-RES,341303.86,329741.68,329298.29,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B25C20000460001
TE,CASTELLI,1306701200000352682022,ABRUZZO,C.da San Salvatore,Chiuso,B23E23000230001,Singolo Proprietario,RCR-CI-L0,38255.12,38255.12,34513.28,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000230001
TE,CASTELLI,1306701200000002892017,ABRUZZO,Contrada Faiano,Chiuso,B21G19000640001,,RCR-CI-L0,77534.87,67924.1,66934.35,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B21G19000640001
TE,CASTELLI,1306701200000353432022,ABRUZZO,C.da Faiano,Chiuso,B23E22000490001,Singolo Proprietario,RCR-CI-L0,28336.06,21077.81,21470.41,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000490001
TE,CASTELLI,1306701200000000702017,ABRUZZO,Frazione BEFARO,Chiuso,B23E17000010008,,RCR-CI-PROD,1033968.85,951479.36,500926.38,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E17000010008
TE,CASTELLI,1306701200000158452020,ABRUZZO,FRAZIONE BEFARO - TORRI,Chiuso,B23E22000010008,Singolo Proprietario,RCR-CI-RES,7698.57,8267.3,8406.68,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000010008
TE,CASTELLI,1306701200000010582018,ABRUZZO,FRAZIONE VILLA COLLI,Chiuso,B29H20000160008,,RCR-CI-L0,15972.78,15377.85,15222.27,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B29H20000160008
TE,CASTELLI,1306701200000355112022,ABRUZZO,VIA CONCEZIO ROSA,Chiuso,B23E23000340001,Singolo Proprietario,RCR-CI-L0,21171.27,20990.38,19202.72,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000340001
TE,CASTELLI,1306701200000335942022,ABRUZZO,FRAZIONE COLLEDORO,Aperto,B23E22000640001,Singolo Proprietario,RCR-CI-L0,27503.25,22094.55,0,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000640001
TE,CASTELLI,1306701200000159842020,ABRUZZO,FRAZIONE BEFARO - PATIELLO,Chiuso,B23E22000590001,Singolo Proprietario,RCR-CI-PROD,174476.81,159183.43,156346.54,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000590001
TE,CASTELLI,1306701200000064502020,ABRUZZO,F.NE COLLEDORO,Chiuso,B28I21001110001,Singolo Proprietario,RCR-CI-PROD,253041.8,253041.8,313197.18,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21001110001
TE,CASTELLI,1306701200000022352018,ABRUZZO,contrada befaro casa delle capre,Chiuso,B28I21001080001,Delegato,RCR-CI-L0,56635.38,56186.23,63944.45,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B28I21001080001
TE,CASTELLI,1306701200000266052021,ABRUZZO,CONTRADA CORNETO,Chiuso,B23E22000110001,Singolo Proprietario,RCR-CI-PROD,326608.46,326149.28,388641.07,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000110001
TE,CASTELLI,1306701200000359892022,ABRUZZO,CONTRADA FAIANO,Chiuso,B23E22000500008,Rappresentante legale,RCR-CI-L0,30723.09,27782.77,42076.35,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E22000500008
TE,CASTELLI,1306701200002357062023,ABRUZZO,Via Scesa del Borgo,Aperto,B23E24000110001,Delegato,RCR-CI-RES,313756.93,306277.85,221662.51,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E24000110001
TE,CASTELLI,1306701200002726732023,ABRUZZO,CONTRADA FAIANO,Aperto,B23E24000020001,Singolo Proprietario,RCR-CI-L0,14886.15,14886.15,0,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E24000020001
TE,CASTELLI,1306701200002838622023,ABRUZZO,"C.da Corazzano, Loc. Villa Colli",Chiuso,B23E23000430001,Singolo Proprietario,RCR-CI-L0,31057.19,31725.38,31590.12,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000430001
TE,CASTELLI,1306701200002871092023,ABRUZZO,F.ne Befaro,Chiuso,B23E23000420008,Singolo Proprietario,RCR-CI-L0,56358.77,55801.73,54275.91,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000420008
TE,CASTELLI,1306701200002955662023,ABRUZZO,Piazza Marconi,Chiuso,B23E23000460001,Singolo Proprietario,RCR-CI-L0,9586.43,9586.43,9586.43,no,49.6808,944,067012,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23E23000460001
AQ,CAGNANO AMITERNO,1306601300000097522020,ABRUZZO,Via del Pavone - Frazione San Giovanni,Aperto,B18I22000010001,Delegato di condominio non registrato,RCR-CI-RES,353703.22,236924.92,233339.32,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B18I22000010001
AQ,CAGNANO AMITERNO,1306601300000007662018,ABRUZZO,VIA DUCA DEGLI ABRUZZI,Chiuso,B18I21000740001,Singolo Proprietario,RCR-CI-L0,37965.52,37965.52,36921.35,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B18I21000740001
AQ,CAGNANO AMITERNO,1306601300000006142018,ABRUZZO,VIA CASCINA,Chiuso,B15C20000310008,,RCR-CI-L0,124955.61,113728.8,113728.79,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B15C20000310008
AQ,CAGNANO AMITERNO,1306601300000142622020,ABRUZZO,VIA SAN ROCCO FRAZIONE FOSSATILLO,Chiuso,B18I21000690008,Singolo Proprietario,RCR-CI-L0,20503.93,21433.12,15433.64,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B18I21000690008
AQ,CAGNANO AMITERNO,1306601300000012002018,ABRUZZO,VIA REGINA MARGHERITA,Chiuso,B11G20000110001,,RCR-CI-L0,66150.39,65919.57,64423.78,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B11G20000110001
AQ,CAGNANO AMITERNO,1306601300000015512018,ABRUZZO,VIA ROMA,Chiuso,B15C20000500001,,RCR-CI-L0,116920.32,112761.87,110081.67,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B15C20000500001
AQ,CAGNANO AMITERNO,1306601300000003722017,ABRUZZO,VIA AMITERNUM,Chiuso,B11G20000160008,,RCR-CI-L0,103183.18,87454.55,87457.54,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B11G20000160008
AQ,CAGNANO AMITERNO,1306601300000297632022,ABRUZZO,VIA PRATOLINE,Aperto,B13E22000080008,Singolo Proprietario,RCR-CI-L0,74139.37,0,0,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B13E22000080008
AQ,CAGNANO AMITERNO,1306601300000002872017,ABRUZZO,VIA ROMA,Chiuso,B11G19000240001,,RCR-CI-L0,521274.72,518042.99,396953.14,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B11G19000240001
AQ,CAGNANO AMITERNO,1306601300000024302018,ABRUZZO,VIA CORROCCIONI,Chiuso,B18I21000400008,,RCR-CI-L0,70433.05,69786.22,69786.22,no,61.3147,1107,066013,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B18I21000400008
TE,COLLEDARA,1306701800000363702022,ABRUZZO,FRAZIONE ORNANO GRANDE,Chiuso,B83E22001340001,Singolo Proprietario,RCR-CI-L0,196235.35,176355.6,177517.58,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22001340001
TE,COLLEDARA,1306701800000047262019,ABRUZZO,VIA DELLA PINETA,Chiuso,B88I21000500001,,RCR-CI-L0,94625.09,93866,98904.36,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000500001
TE,COLLEDARA,1306701800000145092020,ABRUZZO,frazione CHIOVANO,Chiuso,B88I22000090001,Singolo Proprietario,RCR-CI-L0,70210.7,71938.24,81143.45,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I22000090001
TE,COLLEDARA,1306701800000132142020,ABRUZZO,frazione Villa Pizzicato,Chiuso,B88I21001610001,Delegato,RCR-CI-L0,41435.57,41271.51,45576.52,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001610001
TE,COLLEDARA,1306701800000139762020,ABRUZZO,VIA DELLA FARMACIA,Chiuso,B88I21001850008,Singolo Proprietario,RCR-CI-L0,87280.53,78490.33,84373.18,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001850008
TE,COLLEDARA,1306701800000352732022,ABRUZZO,VIA SAN PAOLO,Aperto,B83E22000830001,,RCR-CI-L0,13886.34,9577.21,0,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000830001
TE,COLLEDARA,1306701800000137462020,ABRUZZO,Fraz. Casaterza,Chiuso,B88I21000300001,,RCR-CI-L0,58829.32,58622.12,62797.07,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000300001
TE,COLLEDARA,1306701800000386252022,ABRUZZO,FRAZ. ORNANO GRANDE VIA VITTORIO VENETO,Chiuso,B83E22001390001,Delegato,RCR-CI-L0,42585.11,42585.11,42668.54,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22001390001
TE,COLLEDARA,1306701800000124952020,ABRUZZO,frazione Villa Petto,Chiuso,B89H21000160001,,RCR-CI-L0,329063.7,328799.6,331885.99,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B89H21000160001
TE,COLLEDARA,1306701800000001492017,ABRUZZO,CONTRADA CHIOVANO CHIOVANO,Chiuso,B85C20000590001,Singolo Proprietario,RCR-CI-L0,49570.93,48741.5,45877.35,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B85C20000590001
TE,COLLEDARA,1306701800000145892020,ABRUZZO,VIA DELLA FARMACIA,Chiuso,B83E22000650001,Delegato,RCR-CI-L0,69704.3,69704.3,68752.12,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000650001
TE,COLLEDARA,1306701800000344322022,ABRUZZO,frazione VILLA ILII SPINOSI DELFINA,Chiuso,B83E22000820001,,RCR-CI-L0,9765.15,9881.32,9881.32,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000820001
TE,COLLEDARA,1306701800000047942019,ABRUZZO,Frazione Perelle,Aperto,B88I22000070008,Delegato,RCR-CI-L0,75944.44,75944.44,62591.18,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I22000070008
TE,COLLEDARA,1306701800000048642019,ABRUZZO,VIA S.BIAGIO,Chiuso,B89H20000150001,,RCR-CI-L0,21709.78,21374.2,20600.65,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B89H20000150001
TE,COLLEDARA,1306701800000023092018,ABRUZZO,FRAZIONE ORNANO GRANDE,Chiuso,B88I21000780001,,RCR-CI-L0,47310.55,46662.25,46657.74,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000780001
TE,COLLEDARA,1306701800000048052019,ABRUZZO,Frazione Villa Petto,Chiuso,B83E22000100001,Singolo Proprietario,RCR-CI-L0,44989.28,46763.32,52938.1,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22000100001
TE,COLLEDARA,1306701800000052722019,ABRUZZO,VIA GOFFREDO MAMELI,Chiuso,B88I21000670008,,RCR-CI-L0,76003.41,73803.19,77397.79,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000670008
TE,COLLEDARA,1306701800000044982019,ABRUZZO,CONTRADA PIANE MAVONE,Aperto,B81G20000100001,,RCR-CI-L0,56930.66,0,0,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B81G20000100001
TE,COLLEDARA,1306701800000350052022,ABRUZZO,VIA DELLA FARMACIA,Chiuso,B83E23000450001,Singolo Proprietario,RCR-CI-L0,43964.98,11461.95,11413.41,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E23000450001
TE,COLLEDARA,1306701800000368442022,ABRUZZO,FRAZ. CASATERZA CASATERZA,Chiuso,B83E22001330008,Singolo Proprietario,RCR-CI-L0,18302.2,16253,16235.59,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E22001330008
TE,COLLEDARA,1306701800000011422018,ABRUZZO,F.ne ORNANO PICCOLO,Chiuso,B81G19000470001,,RCR-CI-L0,18613.65,14184.33,12238.48,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B81G19000470001
TE,COLLEDARA,1306701800000023842018,ABRUZZO,Via della Farmacia,Chiuso,B83E23000990001,Singolo Proprietario,RCR-CI-L0,160946.43,215082.65,192327.39,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E23000990001
TE,COLLEDARA,1306701800000146282020,ABRUZZO,fr. Vico,Chiuso,B83E23000410001,Singolo Proprietario,RCR-CI-L0,103360.7,102514.26,90178.97,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83E23000410001
TE,COLLEDARA,1306701800000018192018,ABRUZZO,Frazione Villa Petto,Chiuso,B88I21000970008,,RCR-CI-L0,218709.01,207242.24,192024.88,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000970008
TE,COLLEDARA,1306701800000145672020,ABRUZZO,FRAZIONE ORNANO PICCOLO,Chiuso,B88I21001490001,,RCR-CI-L0,57632.9,0,54753.85,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21001490001
TE,COLLEDARA,1306701800000023672018,ABRUZZO,ORNANO GRANDE VIA SAN GIORGIO,Chiuso,B88I21000530001,,RCR-CI-L0,56034.33,50787.76,52091.36,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000530001
TE,COLLEDARA,1306701800000147922020,ABRUZZO,FRAZ. CHIOVANO,Chiuso,B88I21002100001,Delegato,RCR-CI-L0,261483.06,237859.93,266455.02,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21002100001
TE,COLLEDARA,1306701800000149182020,ABRUZZO,FRAZIONE COLLECASTINO,Chiuso,B88I22000030001,Delegato,RCR-CI-L0,28251.63,28251.63,32011.97,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I22000030001
TE,COLLEDARA,1306701800000020442018,ABRUZZO,F. ORNANO GRANDE CONTRADA MERCATO VECCHIO,Chiuso,B88I21000760008,,RCR-CI-L0,26416.75,26353.75,28989.13,no,18.013,2077,067018,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B88I21000760008
