cup,cig,oggetto_gara,data_pubblicazione_gara,tipo_scelta_contraente,ente,aggiudicatario,cf_aggiudicatario,importo_base_asta,importo_aggiudicazione
B98I21001050001,B25D7B1AD1,"INTERVENTO DI RISTRUTTURAZIONE EDILIZIA CON MIGLIORAMENTO SISMICO, EFFICIENTAMENTO ENERGETICO ED ELIMINAZIONE DELLE BARRIERE ARCHITETTONICHE EDIFICIO ALBERGO COMUNALE. SVOLGIMENTO INDAGINI STRUTTURALI AGGIUNTIVE",2024-07-05,AFFIDAMENTO DIRETTO,,SIDLAB S.R.L.,02660180429,1599.98,1599.98
B98I21001050001,Z673BB070E,"INTERVENTO DI RISTRUTTURAZIONE EDILIZIA CON MIGLIORAMENTO SISMICO, EFFICIENTAMENTO ENERGETICO ED ELIMINAZIONE DELLE BARRIERE ARCHITETTONICHE EDIFICIO ALBERGO COMUNALE. AFFIDAMENTO SERVIZIO DI REDAZIONE DELLA RELAZIONE GEOLOGICA",2023-06-26,AFFIDAMENTO DIRETTO,,,,22592.4,
B98I21001050001,ZD33BADE8D,SISMA AFFIDAMENTO PROGETTAZIONE EDIFICIO ALBERGO COMUNALE - PUBBLICAZIONE GIORNALI NAZIONALI E QUOTIDIANI,2023-06-23,AFFIDAMENTO DIRETTO,,,,1458.0,
B98I21001050001,ZDB3BA5480,PUBBLICAZIONE GURI ALBERGO COMUNALE,2023-06-21,AFFIDAMENTO DIRETTO,,,,600.0,
B98I21001050001,ZF23BBE4D9,"INTERVENTO DI RISTRUTTURAZIONE EDILIZIA CON MIGLIORAMENTO SISMICO, EFFICIENTAMENTO ENERGETICO ED ELIMINAZIONE DELLE BARRIERE ARCHITETTONICHE EDIFICIO ALBERGO COMUNALE - REDAZIONE DELLA RELAZIONE ARCHEOLOGICA",2023-06-29,AFFIDAMENTO DIRETTO,,,,2581.55,
B99B18000220001,8653179D32,09LAV01/21 - SUA P/C DEL COMUNE DI LAPEDONA (FM) - SISMA 2016 - O.C.S.R. 56/18 - PROCEDURA NEGOZIATA PER AFFIDAMENTO DEI LAVORI DI RISANAMENTO CONSERVATIVO PARTE VECCHIA DEL CIMITERO COMUNALE.,2021-03-04,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,ADRIATIC BUILDINGS SRL,01987590435,157959.48,125708.86
B99B18000220001,8653179D32,09LAV01/21 - SUA P/C DEL COMUNE DI LAPEDONA (FM) - SISMA 2016 - O.C.S.R. 56/18 - PROCEDURA NEGOZIATA PER AFFIDAMENTO DEI LAVORI DI RISANAMENTO CONSERVATIVO PARTE VECCHIA DEL CIMITERO COMUNALE.,2021-03-04,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,CONSORZIO STABILE APPALTITALIA,04908490875,157959.48,125708.86
B99B18000220001,B6630A8681,LAVORI DI MESSA IN SICUREZZA ATTRAVERSO MANUTENZIONE STRAORDINARIA PER LA REGIMENTAZIONE DELLE ACQUE PIOVANA CHE INTERESSANO IL CORPO TRASVERSALE DELLA PARTE MONUMENTALE DEL CIVICO CIMITERO OLTRE ALLA SISTEMAZIONE DELLE CORNICI E FRONTALINI DELLE ALI LATERALI,2025-04-08,AFFIDAMENTO DIRETTO,,,,17834.9,17834.9
B99B18000220001,Z193DB50F4,"AFFIDAMENTO SERVIZIO DI PROGETTAZIONE, DIREZIONE LAVORI E SICUREZZA PER LAVORI PRESSO IL CIMITERO STORICO - SISMA 2016",2023-12-12,AFFIDAMENTO DIRETTO,,,,3176.18,
B99B18000220001,Z303DB533B,LAVORI CON SOMME A DISPOSIZIONE DEL QTE DELL'OPERA FINANZIATA CON FONDI SISMA 2016 - CIMITERO STORICO,2023-12-12,AFFIDAMENTO DIRETTO,,,,18000.0,
B99B18000220001,Z312D3431F,INCARICO A LABORATORIO SPECIALIZZATO PER INDAGINI GEOTECNICHE E GEOFISICHE - DANNI SISMA 2016 AL CIMITERO COMUNALE,2020-06-04,AFFIDAMENTO DIRETTO,,,,360.0,
B99B18000220001,Z8F23EFD19,INCARICO DI PROGETTAZIONE SICUREZZA E DIREZIONE DEI LAVORI DEL RECUPERO FUNZIONALE DEL VECCHIO CIMITERO COMUNALE - DANNI SISMA 2016,2018-06-08,AFFIDAMENTO DIRETTO,,,,19026.0,
B99B18000220001,ZDC2D16895,INCARICO PROFESSIONALE GEOLOGO PER INTERVENTO DANNI SISMA 2016 AL CIMITERO COMUNALE,2020-05-23,AFFIDAMENTO DIRETTO,,,,2244.0,
C13D21002700005,A00409A06A,"AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE PER I LAVORI DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE CIMITERO CAPOLUOGO - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).",2023-08-29,AFFIDAMENTO DIRETTO,,CARBONI PATRIZIA,****************,20353.54,20150.0
C13D21002700005,A0232342AA,AFFIDAMENTO DEL SERVIZIO DI COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED IN FASE DI ESECUZIONE RELATIVO ALL'INTERVENTO DI RECUPERO E RIPATAZIONI DANNI SISMA CIMITERO MONTALTO DELLE MARCHE,2023-10-26,AFFIDAMENTO DIRETTO,,,,14302.64,
C13D21002700005,B91F241052,"AFFIDAMENTO LAVORI PER L'INTERVENTO DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL CIMITERO CAPOLUOGO ID 2114 - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA, ORD. N. 137/2023",2025-11-18,ALTRA PROCEDURA A FASE UNICA,,,,233892.27,233892.27
C13D21002710005,A0040A2702,"AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE PER I LAVORI DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE CIMITERO PATRIGNONE- PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).",2023-08-23,AFFIDAMENTO DIRETTO,,TROIANI VINCENZO,****************,22013.29,21573.02
C13D21002710005,B92F1BD567,AFFIDAMENTO DEI LAVORI DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE CIMITERO PATRIGNONE,2025-11-20,ALTRA PROCEDURA A FASE UNICA,,,,196577.27,196577.27
C13D21002710005,Z713D1B32F,REDAZIONE GEOLOGICA - INTERVENTO DI RECUPERO CIMITERO PATRIGNONE - ORDINANZA 137,2023-11-02,AFFIDAMENTO DIRETTO,,,,2497.74,
C13D21002720005,A0007617AB,"AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE PER I LAVORI DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE CIMITERO PORCHIA - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).",2023-08-09,AFFIDAMENTO DIRETTO,,CURTI VINCENZINA,****************,26180.71,25656.8
C13D21002720005,BB4038A88D,AFFIDAMENTO REDAZIONE DOCUMENTO DI VALUTAZIONE PREVENTIVA DELL' INTERESSE ARCHEOLOGICO,2026-04-14,AFFIDAMENTO DIRETTO,,,,2100.0,
C13D21002720005,Z1A3CED1F4,REDAZIONE GEOLOGICA - INTERVENTO DI RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE CIMITERO PORCHIA - ORDINANZA 137,2023-10-19,AFFIDAMENTO DIRETTO,,,,2694.3,
C13D21002750005,99744421EE,AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA E DIREZIONE LAVORI PER I LAVORI DI RECUPERO E SISTEMAZIONE DI LOCALI COMUNALI IN VIA TOBIA ARMELLINI SOTTO PIAZZA SANTA LUCIA - PORCHIA - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).,2023-07-20,AFFIDAMENTO DIRETTO,,CALVARESI NICOLINO,01407860442,32426.94,32112.96
C13D21002750005,A01F8F4426,AFFIDAMENTO INCARICO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE VIA TOBIA ARMELLINI_ORDINANZA N. 137,2023-10-19,AFFIDAMENTO DIRETTO,,,,19390.07,
C13D21002750005,B1F33CE05C,AMPLIAMENTO INCARICO PROGETTAZIONE DEL 21.08.2023 DET.N. 351,2024-06-04,AFFIDAMENTO DIRETTO,,,,15473.18,15473.18
C13D21002750005,B7797C71F6,PUBBLICAZIONE AVVISO AVVIO PROCEDIMENTO DI ESPROPRIO - QUOTIDIANO LOCALE E NAZIONALE,2025-06-30,AFFIDAMENTO DIRETTO,,PIEMME - S.P.A. CONCESSIONARIA DI PUBBLICITA',08526500155,2120.0,2120.0
C13D21002750005,Z493D27261,REDAZIONE GEOLOGICA - INTERVENTO DI RECUPERO VIA TOBIA ARMELNI - ORDINANZA 137,2023-11-07,AFFIDAMENTO DIRETTO,,,,3297.87,
C13D21002770005,9980653767,AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE ESECUTIVA E DIREZIONE LAVORI PER I LAVORI DI RIPARAZIONE DANNI SISMA E RICOSTRUZIOINE DI PORZIONE EX CASA PASQUALINI - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).,2023-07-25,AFFIDAMENTO DIRETTO,,,,39277.89,
C13D21002770005,A0232234A2,AFFIDAMENTO DEL SERVIZIO DI COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED IN FASE DI ESECUZIONE RELATIVO ALL'INTERVENTO DI RIPARAZIONE DANNI SISMA E RICOSTRUZIONE PORZIONE EX CASA PASQUALINI,2023-10-30,AFFIDAMENTO DIRETTO,,,,17689.28,
C13D21002770005,ZBB3CED330,REDAZIONE GEOLOGICA - INTERVENTO DI RECUPERO EX-CASA PASQUALINI - ORDINANZA 137,2023-10-19,AFFIDAMENTO DIRETTO,,,,3900.0,
C13D21003210005,B0BBA9B5B8,"AFFIDAMENTO SERVIZIO DI REDAZIONE RELAZIONE SISMICA E SULLE STRUTTURE, CALCOLI ESECUTIVI, PARTICOLARI COSTRUTTIVI, PIANO DI MANUTENZIONE, QUADRO INCIDENZA MANODOPERA, RELAZIONE SUI MATERIALI, CME, ELENCO PREZZI - ORDINANZA 137 DEL 29.03.2023",2024-03-08,AFFIDAMENTO DIRETTO,,,,7720.26,7720.26
C13D21003230005,9973877FA9,"AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE PER I LAVORI DI RECUPERO E SISTEMAZIONE DEI GARAGE COMUNALI IN LARGO DELLA VITTORIA E DI VIA SACCONI - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).",2023-07-20,AFFIDAMENTO DIRETTO,,,,68727.65,
C13D21003230005,B2120CD5AA,AMPLIAMENTO INCARICO PROGETTAZIONE DEL 23.08.2023 DET.N. 353,2024-06-13,AFFIDAMENTO DIRETTO,,,,38851.34,38851.34
C13D21003230005,B86BE691B8,AFFIDAMENTO SERVIZIO PER REDAZIONE COLLAUDO STATICO DELLE STRUTTURE,2025-09-30,AFFIDAMENTO DIRETTO,,,,5860.46,5860.46
C13D21003230005,ZD93CED36E,REDAZIONE GEOLOGICA - INTERVENTO DI SISTEMAZIONE VIA SACCONI E GARAGE COMUNALI - ORDINANZA 137,2023-10-19,AFFIDAMENTO DIRETTO,,,,4800.0,
C14B19000260005,81155435F1,MIGLIORAMENTO/ADEGUAMENTO SISMICO EX CONVENTO DI COLLEROMANO u2013 PIAZZA COLLEROMANO u2013 MIGLIORAMENTO/ADEGUAMENTO SISMICO BENE STORICO/ARCHITETTONICO,2019-12-05,PROCEDURA APERTA,,INGENIUM SRL,02666390543,395000.0,281951.0
C14F18000000001,8121010574,"SUA P/C COMUNE DI MONTALTO DELLE MARCHE: SERVIZI TECNICI DI PROGETTAZIONE DEFINITIVA, ESECUTIVA E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE RELATIVI AL 'RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE - SERV22/2019",2019-11-29,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,STUDIO PACI S.R.L.,02617840414,183101.27,82153.88
C14F18000000001,8372297E09,"SERVIZI TECNICI DI PROGETTAZIONE DEFINITIVA, ESECUTIVA E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE RELATIVI AL",2020-05-14,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,STUDIO PACI S.R.L.,02617840414,82153.88,82153.88
C14F18000000001,A03EB4B25F,"SERVIZIO DI DIREZIONE DEI LAVORI PER L'INTERVENTO DI RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE",2023-12-15,AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,,120834.29,
C14F18000000001,B1942C802B,"PROCEDURA TELEMATICA APERTA CONDOTTA DAL SETTORE SUAM LAVORI PUBBLICI DELLA REGIONE MARCHE IN QUALITu00C0 DI CENTRALE DI COMMITTENZA P/C DEL COMUNE DI MONTALTO DELLE MARCHE (AP) PER LAFFIDAMENTO DELL'INTERVENTO DI RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE, NEL COMUNE DI MONTALTO DELLE MARCHE (AP)",2024-05-10,PROCEDURA APERTA,,S.A.V.A. & C SOC ANON VEND APPART E COSTR SRL,00287780639,3989185.44,2890286.11
C14F18000000001,B8131C3688,COMMISSARIO ESTERNO GARA DI APPALTO PER AFFIDAMENTO LAVORI PALAZZO COMUNALE,2025-08-29,AFFIDAMENTO DIRETTO,,FABBIONI DANTE,****************,819.67,819.67
C14F18000000001,B82920CD8A,"AFFIDAMENTO DEL SERVIZIO DI CARICO, TRASPORTO E SCARICO DI ARREDI, COMPLEMENTI D'ARREDO E MESSERIZIE PALAZZO COMUNALE",2025-09-08,AFFIDAMENTO DIRETTO,,LAPATI SAS DI DANIELE LAPATI & C.,02259960447,4500.0,4500.0
C14F18000000001,B8C0765654,ACQUISTO CONTENITORI PER DEPOSITO MATERIALI - PALAZZO COMUNALE,2025-10-22,AFFIDAMENTO DIRETTO,,ECOPLAST 2000 SAS DI MICHELA GODIO & C.,05760021005,451.0,451.0
C14F18000000001,B8CE2AEC0A,ACQUISTO SACCHETTI PER IMBALLAGGIO MATERIALE ARCHEOLOGICO - PALAZZO COMUNALE,2025-10-27,AFFIDAMENTO DIRETTO,,ARCHEOLOGISTICS SNC DI ELENA CASTIGLIONI & C.,03335080127,125.0,125.0
C14F18000000001,BB2194426E,"RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE - SERVIZIO DI TRASPORTO E SMALTIMENTO MATERIALE NON RIUTILIZZABILE",2026-04-03,AFFIDAMENTO DIRETTO,,,,1500.0,
C14F18000000001,BBA9E9DD4E,"RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE - RIALLESTIMENTO OPERE LAPIDEE",2026-05-14,AFFIDAMENTO DIRETTO,,,,2500.0,2500.0
C14F18000000001,BBCEA52B0D,"RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE DI MONTALTO DELLE MARCHE - LAVORI IN ECONOMIA : INTERVENTO DI RESTAURO DECORAZIONI PARIETALI E DELLE PORTE INTERNE DEL MUSEO DELLE CARCERI",2026-05-27,AFFIDAMENTO DIRETTO,,,,19800.0,19800.0
C14F18000000001,BC747A9604,"RESTAURO, CONSOLIDAMENTO STATICO E MIGLIORAMENTO SISMICO DEL PALAZZO COMUNALE DI MONTALTO DELLE MARCHE - LAVORI IN ECONOMIA : RIALLESTIMENTO DI DIVERSE LASTRE LAPIDEE",2026-07-20,AFFIDAMENTO DIRETTO,,,,2500.0,2500.0
C14F18000000001,Z882E76367,RELAZIONE GEOLOGICA PALAZZO COMUNALE,2020-09-25,AFFIDAMENTO DIRETTO,,,,17500.0,
C14F18000000001,ZC02E763CA,INDAGINI STRUTTURALI PALAZZO COMUNALE,2020-09-25,AFFIDAMENTO DIRETTO,,,,15840.0,
C14F18000000001,ZE42F50EFB,INDAGINI GEOLOGICHE PALAZZO COMUNALE,2020-11-19,AFFIDAMENTO DIRETTO,,,,4210.0,
C16J17000010001,8384964330,"PROCEDURA NEGOZIATA PER L'AFFIDAMENTO CONGIUNTO DELLA PROGETTAZIONE ESECUTIVA E DELL'ESECUZIONE DEL LAVORI DI ADEGUAMENTO E AMPLIAMENTO DELLA SCUOLA MATERNA E ASILO NIDO PRESSO I LOCALI EX PRIMARIA, IN VIA DEI TIGLI 47, COMUNE DI MONTALTO DELLE MARCHE",2020-07-29,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,FELICI S.R.L.,01794600443,1145346.4,1107753.09
C16J17000010001,87827201D3,PROCEDURA NEGOZIATA PER L,2021-05-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,FELICI S.R.L.,01794600443,1107753.09,1107753.09
C16J17000010001,9109648F54,DIREZIONE LAVORI ADEGUAMENTO E AMPLIAMENTO SCUOLA MATERNA E ASILO NIDO,2022-02-18,AFFIDAMENTO DIRETTO,,MARCHIONNI STEFANO,****************,46226.0,42989.3
C16J17000010001,978148726D,AMPLIAMENTO E DEGUAMENTO SISMICO DELLA SCUOLA MATERNA E ASILO NIDO IN VIALE DEI TIGLI - INCARICO PER COLLAUDATORE STATICO,2023-03-16,AFFIDAMENTO DIRETTO,,,,15609.29,
C16J17000010001,B015E7DD0C,SERVIZI ARCHEOLOGICI - OPERAZIONI DI SCAVO LAVORI DI ADEGUAMENTO E AMPLIAMENTO SCUOLA VIALE DEI TIGLI,2024-01-24,AFFIDAMENTO DIRETTO,,CAPRIOTTI TIZIANA,****************,2000.0,2000.0
C16J17000010001,B2D7018D23,AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE PER VARIANTE IN CORDO D'OPERA DEI LAVORI DI ADEGUAMENTO E AMPLIAMENTO DELLA SCUOLA MATERNA E ASILO NIDO PRESSO I LOCALI DELLA EX PRIMARIA,2024-08-27,AFFIDAMENTO DIRETTO,,,,31580.06,31580.06
C16J17000010001,B2F558532C,LAVORI DI ADEGUAMENTO E AMPLIAMENTO DELLA SCUOLA MATERNA E ASILO NIDO PRESSO I LOCALI DELLA EX PRIMARIA - AFFIDAMENTO DEL SERVIZIO DI REDAZIONE DI PROGETTO E PRATICA AI FINI ANTINCENDIO PER RILASCIO C.P.I.,2024-09-06,AFFIDAMENTO DIRETTO,,CAROSI NAZZARENO,02406750444,3150.0,3150.0
C16J17000010001,BB000614E0,NUOVO ALLACCIO ENERGIA ELETTRICA UTENZA SCOLASTICA EDIFICIO VIALE DEI TIGLI 47,2026-03-25,AFFIDAMENTO DIRETTO,,,,4173.12,
C16J17000010001,Z373C42366,SPOSTAMENTO CAVI IMPIANTO TELEFONICO IN VIALE DEI TIGLI PRESSO LA EX SCUOLA ELEMENTARE,2023-08-25,AFFIDAMENTO DIRETTO,,,,1989.07,
C16J17000010001,Z593A57E07,SCUOLA MATERNA E ASILO NIDO - SUPPORTO LEGALE AL RUP,2023-03-13,AFFIDAMENTO DIRETTO,,,,200.0,
C16J17000010001,Z5A32A6BEA,VALIDAZIONE PROGETTO SCUOLA MATERNA E ASILO NIDO,2021-07-30,AFFIDAMENTO DIRETTO,,,,6500.0,
C16J17000010001,Z623B519E7,SMONTAGGIO E ACCANTONAMENTO IMPIANTO FOTOVOLTAICO,2023-05-25,AFFIDAMENTO DIRETTO,,,,4200.0,
C16J17000010001,Z8036E7A4D,AGGIORNAMENTO COMPUTO METRICO DEI LAVORI DI ADEGUAMENTO E AMPLIAMENTO DELLA SCUOLA MATERNA E ASILO NIDO,2022-06-22,AFFIDAMENTO DIRETTO,,,,3500.0,
C17H21010050005,9982032963,"AFFIDAMENTO DELSERVIZIO DI PROGETTAZIONE ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE PER I LAVORI DI RIQUALIFICAZIONE IN FRAZ: PORCHIA DELLE VIE PUBBLICHE SAN PAOLO E MONTE GIOVANNINI (ZONA ROSSA) - PROGRAMMA STRAORDINARIO DI RIGENERAZIONE URBANA CONNESSA AL SISMA ALL. A1-A2 - ORDINANZA N.137 DEL 29.03.2023 _ AFFIDAMENTO DIRETTO AI SENSI DEL DLGS 36/2023 ART.50 C. 1 LETT. B).",2023-08-10,AFFIDAMENTO DIRETTO,,ANELLI LUIGI,****************,22057.11,21187.55
C17H21010050005,B2DBCF17D1,"AMPLIAMENTO INCARICO PROGETTAZIONE SU PROGETTO IMPIANTI INERENTI AI LAVORI DI RIQUALIFICAZIONE DELLE VIE PUBBLICHE NELLA ZONA ROSSA DI PORCHIA, VIA SAN PAOLO E VIA MONTE GIOVANNINI",2024-08-29,AFFIDAMENTO DIRETTO,,,,8791.56,8791.56
C18E17000070002,Z13242B120,MIGLIORAMENTO SISMICO EDIFICIO ITCG MARCONI DI PENNE PICCOLA SUCCURSALE - AFFIDAMENTO SERVIZIO DI INGEGNERIA DI SUPPORTO AL RUP,2018-06-27,AFFIDAMENTO DIRETTO,,,,9200.08,
C18E17000070002,Z8727CB819,LAVORI DI MIGLIORAMENTO SISMICO DELLISTITUTO MARCONI DI PENNE - PICCOLA SUCCURSALE - SERVIZIO DI INDAGINI STRUTTURALI E GEOGNOSTICHE,2019-03-28,AFFIDAMENTO DIRETTO,,,,6976.9,
C18E17000070002,ZA33027E98,INTERVENTO DI MIGLIORAMENTO SISMICO DELL?EDIFICIO SEDE DELLA PICCOLA SUCCURSALE DELL?I.T.C.G. ?G. MARCONI? DI PENNE. AFFIDAMENTO COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE,2021-01-12,AFFIDAMENTO DIRETTO,,,,3523.64,
C18E17000070002,ZFA27CB7B8,LAVORI DI MIGLIORAMENTO SISMICO DELL'ISTITUTO MARCONI DI PENNE - PICCOLA SUCCURSALE - REDAZIONE RELAZIONE GEOLOGICA,2019-03-28,AFFIDAMENTO DIRETTO,,,,2400.0,
C18E18000460003,778195506C,"'ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL'INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI' - PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE DI FATTIBILITÀ TECNICO ECONOMICA, DEFINITIVA ED ESECUTIVA, COMPRESA RELAZIONE GEOLOGICA E DELL'INCARICO DI DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE.",2019-02-20,PROCEDURA APERTA,,ATIPROJECT S.R.L.,02255140507,584303.35,307168.27
C18E18000460003,823296272A,ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL'INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI - AFFIDAMENTO INDAGINI GEOGNOSTICHE,2020-03-02,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,ECOSOIL S.R.L.,02347600187,13420.68,10401.03
C18E18000460003,8299561666,"'ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL'INFANZIA BORGO S. LUCIA' SITA NEL COMUNE DI RIETI - CODICE OPERA SC_000031_2017 - AFFIDAMENTO, AI SENSI DELL'ART. 2 COMMA 2 BIS, DEL D.L. 189/2016, DELLE INDAGINI E DELLE PROVE SULLE STRUTTURE E SUI MATERIALI",2020-06-24,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,TECNOLAB S.R.L.,01626100695,49534.98,31122.83
C18E18000460003,Z9D2CDAE46,?ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL?INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI? - PUBBLICITÀ ESITO,2020-04-30,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,,,2000.0,
C18E18000460003,ZB626EFB14,?ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL?INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI? - PUBBLICITÀ GURI,2019-01-30,AFFIDAMENTO DIRETTO,,,,700.0,
C18E18000460003,ZD426EFC4D,?ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL?INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI? - PUBBLICITÀ GUCE + QUOTIDIANI,2019-01-30,PROCEDURA RISTRETTA,,,,1500.0,
C18E18000460003,ZE627231E2,?ADEGUAMENTO SISMICO DELLA SCUOLA MEDIA BASILIO SISTI E SCUOLA DELL?INFANZIA BORGO S. LUCIA SITA NEL COMUNE DI RIETI? - PUBBLICITÀ GUCE + QUOTIDIANI,2019-02-13,PROCEDURA RISTRETTA,,,,1500.0,
C18E18000470001,7734426A3D,AFFIDAMENTO SERVIZI TECNICI DI ARCHITETTURA E INGEGNERIA INERENTI I LAVORI DI ADEGUAMENTO SISMICO DELLA PALESTRA DELLA SCUOLA MEDIA BASILIO SISTI SITA NEL COMUNE DI RIETI (RI),2019-01-30,PROCEDURA APERTA,,EXUP S.R.L.,03065390548,216954.57,116873.43
C18E18000470001,814836210B,AFFIDAMENTO ESECUZIONE INDAGINI E PROVE SULLE STRUTTURE E SUI MATERIALI PER L'INTERVENTO DI 'ADEGUAMENTO SISMICO DELLA PALESTRA SCUOLA MEDIA BASILIO SISTI - RIETI - CODICE OPERA SC_000009_2017,2020-02-13,AFFIDAMENTO DIRETTO,,,,15034.21,
