cup,anno,importo_pagato
C16J17000010001,2023,299422.4
C16J17000010001,2024,174606.51
C16J17000010001,2025,162118.7
C16J17000010001,2026,312392.91
C18E17000070002,2020,13956.8
C18E17000070002,2022,6527.27
C19J22002920001,2024,9516.0
C25J18000200004,2020,38502.43
C28E18000030003,2020,20848.85
C28E18000030003,2021,25018.98
C28E18000030003,2022,6019.52
C31B21002510001,2021,2440.0
C31B21002510001,2022,46136.13
C31B21002510001,2023,40602.39
C31B21002510001,2024,514483.8
C31B21002510001,2025,527460.87
C31B21002520001,2022,83460.86
C31B21002520001,2023,88003.82
C31B21002520001,2024,334413.79
C31B21002520001,2025,986962.9
C31B21006530001,2022,43664.69
C31B21006530001,2023,51221.83
C31B21006530001,2024,368907.56
C31B21006530001,2025,1445435.3
C32C20005070001,2023,39182.76
C32C20005070001,2024,125093.63
C32C20005090001,2021,28821.62
C32C20005090001,2022,73004.97
C32C20005090001,2023,151584.41
C32C20005090001,2024,157622.66
C32E20000190001,2022,3275.41
C32E20000190001,2023,100866.25
C32E20000190001,2024,26198.84
C32E20000190001,2025,108790.96
C32E20000200001,2023,62302.94
C32F22000140001,2024,114896.67
C33H18000130006,2020,35526.27
C33H18000130006,2021,132274.98
C33H18000130006,2022,1448976.33
C34I20000270001,2021,63145.8
C34I20000270001,2022,130346.87
C34I20000270001,2023,94914.08
C34I20000270001,2024,31728.22
C34J18000050002,2022,28052.1
C34J18000050002,2023,77527.17
C34J18000050002,2024,96261.57
C34J18000050002,2025,142292.26
C34J18000050002,2026,106774.71
C37H18002730002,2023,6100.0
C37H18002730002,2024,5856.0
C37H18002730002,2025,3045.12
C37H19001750001,2020,153139.83
C37H19001750001,2021,46054.2
C37H21006030001,2024,3178.6
C37H21006040001,2024,7995.07
C37H21006040001,2025,90507.92
C37H21006310001,2024,9851.94
C37H21006310001,2025,50617.68
C37H21006310001,2026,87315.45
C37H21006350001,2024,3416.42
C37H21006360001,2025,49307.64
C37H21006370001,2024,4126.14
C37H21006370001,2025,19878.9
C37H21006370001,2026,25296.41
C37H21006380001,2024,3416.42
C37H21006400001,2024,6264.93
C37H21006400001,2026,67545.19
C37H21006410001,2025,40900.99
C37H21006410001,2026,5602.09
C37H21006430001,2024,83865.81
C38C20000190001,2021,57519.54
C38C20000190001,2022,1027493.7
C38C20000190001,2023,213102.2
C41B20000590002,2022,60086.07
C41B20000590002,2023,517.0
C41B20000600002,2021,46115.6
C41B20000600002,2022,5457.89
C41B20000600002,2023,517.0
C41B21004240001,2022,2177.0
C41B21004240001,2023,104340.65
C41B21004240001,2024,613827.01
C41B21004240001,2025,1143034.86
C41B21004240001,2026,401585.31
C41B21005100001,2024,23460.15
C42H17000200002,2019,46553.36
C42H17000200002,2021,341984.1
C42H17000200002,2022,355454.36
C42H17000200002,2023,104843.12
C42H17000200002,2025,2007.5
C43G20001020001,2022,17342.73
C43G20001020001,2023,7486.48
C43G20001020001,2025,52056.28
C43G20001030001,2023,3513.98
C43G20001030001,2025,15881.59
C43G20001030001,2026,71623.01
C43G20001040001,2022,6677.22
C43G20001040001,2023,5507.82
C43G20001050001,2022,17732.2
C43G20001050001,2023,2488.73
C43G20001050001,2024,40320.99
C44C19000150001,2021,32278.94
C44C19000150001,2022,54053.04
C44C19000150001,2023,366.0
C44C19000150001,2024,219508.18
C44C19000150001,2025,1101243.82
C44C19000150001,2026,76978.12
C44E21000750001,2022,8892.97
C44E21000750001,2025,58028.82
C44E21000750001,2026,3950.0
C44F20000000001,2021,21765.75
C44F20000000001,2022,43733.05
C44F20000000001,2023,116254.46
C44F20000000001,2024,272212.45
C44F20000000001,2025,574236.22
C44F20000000001,2026,86457.82
C45E22000290001,2021,754.05
C45E22000290001,2022,88669.19
C45E22000290001,2023,189306.45
C45E22000290001,2024,509569.16
C45E22000290001,2025,72616.8
C45E22000290001,2026,255474.96
C47H20001600006,2021,23921.02
C47H20001600006,2022,23241.0
C47H20001600006,2024,35.0
C47H20001600006,2025,44949.19
C47H20001600006,2026,111857.54
C47H20002200001,2021,55417.82
C47H20002200001,2022,127440.36
C47H20002200001,2023,13140.48
C47H20002200001,2024,3873.05
C47H21000160001,2021,30.0
C47H21000160001,2023,22888.91
C47H21000160001,2024,76125.99
C47H21000160001,2025,3595.74
C47H21000160001,2026,1560.0
C47H21004430001,2025,298918.54
C48E19000000002,2021,69488.16
C48E19000000002,2022,6517.58
C48E19000000002,2023,55478.43
C48E19000000002,2024,870219.24
C48E19000000002,2025,865061.58
C48E19000000002,2026,974111.16
C49C19000010002,2020,29672.75
C49C19000010002,2021,22141.32
C49C19000010002,2022,123338.55
C49C19000010002,2023,47128.77
C49C19000010002,2024,56697.24
C49C19000010002,2025,652490.8
C49C19000010002,2026,1280.0
C49C19000020002,2020,9732.54
C49C19000020002,2021,7639.6
C49C19000020002,2024,51316.25
C49C19000020002,2025,146427.36
C49C19000020002,2026,121765.89
C49I19000010002,2021,13242.21
C49I19000010002,2023,4142.59
C49I19000010002,2024,2993.14
C49I19000010002,2025,12919.35
C49I19000020002,2020,9650.85
C49I19000020002,2022,115545.54
C49I19000020002,2023,64176.46
C51B21002260001,2022,6175.95
C51B21002270001,2021,317546.28
C51B21002270001,2022,313421.11
C51B21002270001,2023,420.0
C51B22001860002,2024,39179.42
C51B22001860002,2026,1975.68
C51I20000030001,2022,5456.33
C51J20000130001,2020,4897.1
C51J20000130001,2021,10801.28
C52B20000020005,2021,214153.72
C52B20000020005,2022,38971.67
C52B20000020005,2023,114149.16
C52F22000940002,2024,17433.48
C52F22000940002,2025,12534.88
C52F22000940002,2026,15760.62
C52F22000960002,2024,6057.49
C53B20000080002,2021,153143.96
C53B20000080002,2022,191718.6
C53B20000080002,2023,3027.9
C53B20000080002,2024,3027.89
C53D21001300001,2022,161853.94
C53D21001300001,2023,9404.64
C53D21001300001,2024,420705.08
C53D21001300001,2025,59435.4
C53H20000450001,2023,100527.81
C53H20000450001,2024,258795.65
C53H20000450001,2025,50873.02
C53H20000450001,2026,289985.94
C54B19000500001,2021,2614.72
C54B19000500001,2022,130455.67
C54B19000500001,2023,17273.44
C54C20000170001,2020,41388.68
C54C20000170001,2021,19961.15
C54C20000170001,2022,17684.82
C54F20000000002,2020,518.54
C54F20000000002,2021,13965.95
C54F20000000002,2022,146755.64
C54F20000010002,2020,1119.96
C54F20000010002,2021,134030.66
C54F20000020002,2020,143965.29
C54I20000560001,2021,66005.56
C54I20000560001,2022,210224.08
C54I20000560001,2023,160617.82
C54I20000560001,2024,88709.4
C54I20000560001,2025,292185.25
C54I20000560001,2026,3020.28
C55B19004200005,2020,23393.7
C55B19004200005,2021,70680.16
C55B19004200005,2022,353562.66
C55B19004200005,2023,275441.16
C55D20000010002,2020,1326.1
C55D20000010002,2021,29929.23
C55D20000010002,2023,73148.72
C55D20000010002,2024,55612.67
C55D20000020002,2020,11265.2
C55D20000020002,2021,4950.0
C55D20000020002,2022,61283.53
C55D20000020002,2023,69123.52
C55D20000020002,2024,654886.06
C55G17000020001,2021,68056.2
C55G17000020001,2023,9758.62
C55G17000020001,2025,13008.1
C56D18000200009,2021,104985.05
C56D18000200009,2022,1628.0
C56J23000030001,2024,6197.6
C57B21000030001,2023,4832.21
C57B21000030001,2024,1291.19
C57H20002800007,2021,42966.69
C57H21000960001,2022,11920.0
C57H21000960001,2023,721535.84
C57H21000960001,2024,74688.42
C57H21000970001,2022,22162.78
C57H21000970001,2025,306116.91
C57H21000980001,2022,15487.4
C57H21004000001,2022,134719.62
C57H21004830001,2022,63167.82
C57H22003570002,2024,35220.81
C57H22003580002,2024,15311.2
C57H22003580002,2025,25785.14
C58B19000030005,2021,86397.45
C58B19000030005,2022,33221.65
C58B19000030005,2023,6033.29
C58B22000430005,2024,7252.43
C58E18000170001,2020,11203.26
C58E18000170001,2021,145328.03
C58E18000170001,2022,6117.86
C58E18000170001,2023,329863.92
C58E18000170001,2024,787578.1
C58E18000170001,2025,526096.05
C59D18000030001,2021,12556.6
C59D18000030001,2022,173387.4
C59D18000030001,2023,434360.32
C59D18000030001,2024,564277.43
C59D18000030001,2025,296962.03
C59D18000030001,2026,228688.67
C59D18000060001,2020,4400.58
C59D18000060001,2021,56316.52
C59D18000060001,2022,162029.01
C59D18000060001,2023,152682.65
C59D22000300002,2024,19881.44
