n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
18,2021-11-30,10,Umbria,1209,209990311.57,143196957.14,227,110860463.26,67379819.99,578,60119749.49,46581231.51,404,39010098.82,29235905.64,,,,Umbria
19,2021-11-30,02,Valle d'Aosta/Vallée d'Aoste,127,27550671.89,18174607.30,56,20243411.17,13215302.32,56,5945511.72,4048190.02,15,1361749.00,911114.96,,,,Valle d'Aosta
20,2021-11-30,05,Veneto,8697,1164015782.68,865218798.49,637,362019603.42,236278344.21,3834,405845869.07,316998001.27,4226,396150310.19,311942453.01,,,,Veneto
1,2021-12-31,13,Abruzzo,2499,554929494.89,347038383.44,580,353508547.88,200694781.92,1126,125887857.56,88960480.71,793,75533089.45,57383120.81,,,,Abruzzo
2,2021-12-31,17,Basilicata,1017,274251808.64,180489267.09,344,195224518.69,125974108.53,447,53242034.85,38465740.34,225,25721715.49,16022390.61,1,63539.61,27027.61,Basilicata
3,2021-12-31,18,Calabria,3423,611925702.69,421138496.66,539,299541850.45,181259976.78,1883,205859735.39,162077981.82,1001,106524116.85,77800538.06,,,,Calabria
4,2021-12-31,15,Campania,5488,1171876837.43,727979298.49,1220,705071424.83,400253199.08,3129,347874080.62,245963549.51,1139,118931331.98,81762549.90,,,,Campania
5,2021-12-31,08,Emilia-Romagna,8204,1423962322.12,1048374129.17,1476,767881567.02,559322673.50,3769,389382902.41,289580978.99,2959,266697852.69,199470476.68,,,,Emilia-Romagna
6,2021-12-31,06,Friuli-Venezia Giulia,2600,350526022.90,247429455.24,204,128897494.14,78237670.41,1675,163582342.92,124617267.31,721,58046185.84,44574517.52,,,,Friuli-Venezia Giulia
7,2021-12-31,12,Lazio,8257,1457727695.23,925468545.64,1097,733494462.80,394746727.31,4004,429432082.34,312062108.70,3156,294801150.09,218659709.63,,,,Lazio
8,2021-12-31,07,Liguria,1129,182325622.90,113758740.63,247,90666138.08,49716024.80,539,58392493.53,41211406.65,343,33266991.29,22831309.18,,,,Liguria
9,2021-12-31,03,Lombardia,14385,2622835969.72,1896821139.53,2258,1307622348.48,882541445.47,6654,753699481.80,578189783.94,5473,561514139.44,436089910.12,,,,Lombardia
10,2021-12-31,11,Marche,2291,430961032.75,295286570.14,536,257421356.93,167029119.94,978,103006152.25,77223401.77,777,70533523.57,51034048.43,,,,Marche
11,2021-12-31,14,Molise,537,97944940.31,62607639.08,94,47068995.37,28029929.89,248,30644164.73,20317044.15,195,20231780.21,14260665.04,,,,Molise
