CUP,CIG,CIG_Accordo_Quadro
B69J21005840001,NULL,NULL
B69J21005900001,NULL,NULL
B69J21005940001,NULL,NULL
B69J21005980001,NULL,NULL
B69J21006020001,NULL,NULL
B69J21006040001,NULL,NULL
B69J21006110001,NULL,NULL
B69J21006280001,NULL,NULL
B69J21006570001,NULL,NULL
B69J21024860001,NULL,NULL
B69J21027880001,NULL,NULL
B69J21027910001,NULL,NULL
B69J21030370001,NULL,NULL
B69J21031420001,NULL,NULL
B69J22001210006,NULL,NULL
B71B21007780006,NULL,NULL
B71D22000460006,NULL,NULL
B71D22000470006,NULL,NULL
B71D22000480006,NULL,NULL
B71J23000470006,NULL,NULL
B71J24000860003,NULL,NULL
B71J24001340003,NULL,NULL
B73I20000480006,NULL,NULL
B74D22001580006,NULL,NULL
B74D22001600006,NULL,NULL
B74D22001660006,NULL,NULL
B74D22001670006,NULL,NULL
B74D22001690006,NULL,NULL
B74D22001710006,NULL,NULL
B74D22001730006,NULL,NULL
B74D22001740006,NULL,NULL
B74D22001760006,NULL,NULL
B74D22001770006,NULL,NULL
B74D22001790006,NULL,NULL
B74D22001800006,NULL,NULL
B74D22001820006,NULL,NULL
B74D22001830006,NULL,NULL
B74D22001840006,NULL,NULL
B74D22001850006,NULL,NULL
B74D22001890006,NULL,NULL
B74D22001910006,NULL,NULL
B74D22001930006,NULL,NULL
B74D22001960006,NULL,NULL
B74D22001980006,NULL,NULL
B74D22002040006,NULL,NULL
B74D22002080006,NULL,NULL
B74D22002090006,NULL,NULL
B74D22002110006,NULL,NULL
B74D22002120006,NULL,NULL
B74D22002190006,NULL,NULL
B74D22002210006,NULL,NULL
B74D22002260006,NULL,NULL
B74D22002270006,NULL,NULL
B74D22002280006,NULL,NULL
B74D22002310006,NULL,NULL
B74D22002370006,NULL,NULL
B74D22002390006,NULL,NULL
B74D22002410006,NULL,NULL
B74D22002560006,NULL,NULL
B74D22002590006,NULL,NULL
B74D22002600006,NULL,NULL
B74D22002610006,NULL,NULL
B74D22002660006,NULL,NULL
B74D22002690006,NULL,NULL
B74D23000530006,9987587187,NULL
B74D23000960001,NULL,NULL
B74D23001930007,NULL,NULL
B74D23001940007,NULL,NULL
B74D23001950007,NULL,NULL
B74D23001990007,NULL,NULL
B74D23002550009,NULL,NULL
B74D23003190008,NULL,NULL
B74D24000890001,NULL,NULL
B74D24000900001,NULL,NULL
B74H22000150006,NULL,NULL
B74H22000180001,NULL,NULL
B74J23000220001,9747393B28,NULL
B74J23000270006,9736248E02,NULL
B75F20001870006,NULL,NULL
B77H20015900002,NULL,NULL
B79J21005960001,NULL,NULL
B79J21007810001,NULL,NULL
B79J21007950001,NULL,NULL
B79J21008050001,NULL,NULL
B79J21008080001,NULL,NULL
B79J21008090001,NULL,NULL
B79J21008490001,NULL,NULL
B79J21029510001,NULL,NULL
B79J21031160001,NULL,NULL
B79J22001560001,B201E6AB6D,NULL
B79J22001560001,NULL,NULL
B81C22003080001,NULL,NULL
B81C24000080001,NULL,NULL
B83C22006910008,NULL,NULL
B84D22002400006,NULL,NULL
B84D22002470006,NULL,NULL
B84D22002490006,NULL,NULL
B84D22002510006,NULL,NULL
B84D22002520006,NULL,NULL
B84D22002550006,NULL,NULL
B84D22002600006,NULL,NULL
B84D22002610006,NULL,NULL
B84D22002650006,NULL,NULL
B84D22002720006,NULL,NULL
B84D22002740006,NULL,NULL
B84D22002760006,NULL,NULL
B84D22002770006,NULL,NULL
B84D22002790006,NULL,NULL
B84D22002880006,NULL,NULL
B84D22002900006,NULL,NULL
B84D22002910006,NULL,NULL
B84D22002920006,NULL,NULL
B84D22002940006,NULL,NULL
B84D22002950006,NULL,NULL
B84D22002990006,NULL,NULL
B84D22003010006,NULL,NULL
B84D22003020006,NULL,NULL
B84D22003040006,NULL,NULL
B84D22003080006,NULL,NULL
B84D22003090006,NULL,NULL
B84D22003100006,NULL,NULL
B84D22003110006,NULL,NULL
B84D22003120006,NULL,NULL
B84D22003140006,NULL,NULL
B84D22003150006,NULL,NULL
B84D22003160006,NULL,NULL
B84D22003190006,NULL,NULL
B84D22003240006,NULL,NULL
B84D22003280006,NULL,NULL
B84D22003300006,NULL,NULL
B84D22003340006,NULL,NULL
B84D22003350006,NULL,NULL
B84D22003370006,NULL,NULL
B84D22003390006,NULL,NULL
B84D22003420006,NULL,NULL
B84D22003430006,NULL,NULL
B84D22003460006,NULL,NULL
B84D22003480006,NULL,NULL
B84D22003510006,NULL,NULL
B84D22003580006,NULL,NULL
B84D22003600006,NULL,NULL
B84D22003620006,NULL,NULL
B84D22003630006,NULL,NULL
B84D22003640006,NULL,NULL
B84D22003650006,NULL,NULL
B84D22003680006,NULL,NULL
B84D22003690006,NULL,NULL
B84D22003700006,NULL,NULL
B84D22003810006,NULL,NULL
B84D23001300001,NULL,NULL
B84D23001310001,NULL,NULL
B84D23002770007,NULL,NULL
B84D23002780007,NULL,NULL
B84D23002790007,NULL,NULL
B84D23003510009,NULL,NULL
B84D23003520009,NULL,NULL
B84D23003530009,NULL,NULL
B84D23003540009,NULL,NULL
B84D23003550009,NULL,NULL
B84D23004340008,NULL,NULL
B87H20010650002,NULL,NULL
B87H24002520008,NULL,NULL
B89B22000040006,NULL,NULL
B89J21006660001,NULL,NULL
B89J21006690001,NULL,NULL
B89J21006730001,NULL,NULL
B89J21006830001,NULL,NULL
B89J21006840001,NULL,NULL
B89J21006900001,NULL,NULL
B89J21006920001,9483846D4A,NULL
B89J21006940001,NULL,NULL
B89J21007160001,NULL,NULL
B89J21007260001,NULL,NULL
B89J21007680001,NULL,NULL
B89J21008030001,NULL,NULL
B89J21010190001,NULL,NULL
B89J21024860001,NULL,NULL
B89J21028010001,NULL,NULL
B89J21029880001,NULL,NULL
B91B21005330006,NULL,NULL
B91D23000050006,NULL,NULL
B92F23000350001,NULL,NULL
B93C22001450006,NULL,NULL
B93C22001480007,NULL,NULL
B93C22001660006,NULL,NULL
B94D22001340006,NULL,NULL
B94D22001350006,NULL,NULL
B94D22001360006,NULL,NULL
B94D22001370006,NULL,NULL
B94D22001390006,NULL,NULL
B94D22001410006,NULL,NULL
B94D22001430006,NULL,NULL
B94D22001440006,NULL,NULL
B94D22001450006,NULL,NULL
B94D22001480006,NULL,NULL
B94D22001500006,NULL,NULL
B94D22001540006,NULL,NULL
B94D22001550006,NULL,NULL
B94D22001570006,NULL,NULL
B94D22001580006,NULL,NULL
B94D22001600006,NULL,NULL
B94D22001610006,NULL,NULL
B94D22001630006,NULL,NULL
B94D22001650006,NULL,NULL
B94D22001670006,NULL,NULL
B94D22001680006,NULL,NULL
B94D22001700006,NULL,NULL
B94D22001720006,NULL,NULL
B94D22001730006,NULL,NULL
B94D22001740006,NULL,NULL
B94D22001770006,NULL,NULL
B94D22001790006,NULL,NULL
B94D22001840006,NULL,NULL
B94D22001870006,NULL,NULL
B94D22001880006,NULL,NULL
B94D22001900006,NULL,NULL
B94D22001910006,NULL,NULL
B94D22001940006,NULL,NULL
B94D22001970006,NULL,NULL
B94D22001980006,NULL,NULL
B94D22002000006,NULL,NULL
B94D22002010006,NULL,NULL
B94D22002030006,NULL,NULL
B94D22002040006,NULL,NULL
B94D22002050006,NULL,NULL
B94D22002130006,NULL,NULL
B94D22002170006,NULL,NULL
B94D22002200006,NULL,NULL
B94D22002220006,NULL,NULL
B94D22002240006,NULL,NULL
B94D23001180007,NULL,NULL
B94D23001200007,NULL,NULL
B94D23001210007,NULL,NULL
B94D23001220007,NULL,NULL
B94D23001620009,NULL,NULL
B94D23001630009,NULL,NULL
B94D23001640009,NULL,NULL
B94D23002060008,NULL,NULL
B94E21022000001,9970068862,94080887D1
B94E22000360006,A05E48B46A,9188591929
B94E22000370006,A05E48B46A,9188591929
B94E22000380006,A05E48B46A,9188591929
B94H22000010006,NULL,NULL
B94H22000200006,NULL,NULL
B94H22000330006,NULL,NULL
B94H22000340006,NULL,NULL
B94J23000050005,97350777AD,NULL
B94J23000210001,NULL,NULL
B98H22000660001,NULL,NULL
B99J21007580001,NULL,NULL
B99J21007660001,NULL,NULL
B99J21007720001,NULL,NULL
B99J21007750006,NULL,NULL
B99J21007800001,NULL,NULL
B99J21007870001,NULL,NULL
B99J21008360001,NULL,NULL
B99J21021940001,NULL,NULL
B99J21021980001,NULL,NULL
B99J21022390001,NULL,NULL
B99J21023020001,NULL,NULL
B99J21024020001,NULL,NULL
C11G22000250006,NULL,NULL
C11I24000340001,NULL,NULL
C13C23000560005,NULL,NULL
C13D21002830001,NULL,NULL
C14D22001200006,NULL,NULL
C14D22001210006,NULL,NULL
C14D22001250006,NULL,NULL
C14D22001290006,NULL,NULL
C14D22001320006,NULL,NULL
C14D22001340006,NULL,NULL
C14D22001350006,NULL,NULL
C14D22001360006,NULL,NULL
C14D22001370006,NULL,NULL
C14D22001430006,NULL,NULL
C14D22001440006,NULL,NULL
C14D22001450006,NULL,NULL
C14D22001460006,NULL,NULL
C14D22001470006,NULL,NULL
C14D22001490006,NULL,NULL
C14D22001500006,NULL,NULL
C14D22001520006,NULL,NULL
C14D22001530006,NULL,NULL
C14D22001540006,NULL,NULL
C14D22001730006,NULL,NULL
C14D22001740006,NULL,NULL
C14D22001750006,NULL,NULL
C14D22001770006,NULL,NULL
C14D22001780006,NULL,NULL
C14D22001790006,NULL,NULL
C14D22001800006,NULL,NULL
C14D22001810006,NULL,NULL
C14D22001860006,NULL,NULL
C14D22001870006,NULL,NULL
C14D22001940006,NULL,NULL
C14D22001950006,NULL,NULL
C14D22001980006,NULL,NULL
C14D22002050006,NULL,NULL
C14D22002120006,NULL,NULL
C14D22002130006,NULL,NULL
C14D22002160006,NULL,NULL
C14D23003400006,NULL,NULL
C14D24000670006,NULL,NULL
C14E22000280006,NULL,NULL
C14E22000290006,NULL,NULL
C14E22000300006,NULL,NULL
C14H22000210006,NULL,NULL
C14H22000220006,NULL,NULL
C14J23000180007,NULL,NULL
C14J23000300006,NULL,NULL
C14J23000320007,NULL,NULL
C15J22000030006,NULL,NULL
C16G22000970006,NULL,NULL
C17B22000390001,NULL,NULL
C17H20004860001,NULL,NULL
C19I22001170006,NULL,NULL
C19J21032860001,NULL,NULL
C19J21032870001,NULL,NULL
C19J21033230001,NULL,NULL
C19J21033240001,NULL,NULL
C19J21034700001,NULL,NULL
C19J21044980001,NULL,NULL
C19J21044990001,NULL,NULL
C19J21045020001,NULL,NULL
C19J21045090001,NULL,NULL
C19J21045110001,NULL,NULL
C19J21045450001,NULL,NULL
C19J22001980001,NULL,NULL
C21B24000150005,NULL,NULL
C21G22000090001,NULL,NULL
C21I24000220001,NULL,NULL
C21I24000230001,NULL,NULL
C21I24000240003,NULL,NULL
C24D22000920006,NULL,NULL
C24D22000930006,NULL,NULL
C24D22000940006,NULL,NULL
C24D22000960006,NULL,NULL
C24D22000970006,NULL,NULL
C24D22000990006,NULL,NULL
C24D22001040006,NULL,NULL
C24D22001050006,NULL,NULL
C24D22001060006,NULL,NULL
C24D22001130006,NULL,NULL
C24D22001150006,NULL,NULL
C24D22001180006,NULL,NULL
C24D22001200006,NULL,NULL
C24D22001220006,NULL,NULL
C24D22001250006,NULL,NULL
C24D22001260006,NULL,NULL
C24D22001330006,NULL,NULL
C24D22001350006,NULL,NULL
C24D22001370006,NULL,NULL
C24D22001380006,NULL,NULL
C24D22001390006,NULL,NULL
C24D22001410006,NULL,NULL
C24D22001440006,NULL,NULL
C24D22001490006,NULL,NULL
C24D22001510006,NULL,NULL
C24D22001520006,NULL,NULL
C24D22001580006,NULL,NULL
C24D22001730006,NULL,NULL
C24D22001740006,NULL,NULL
C24D22001750006,NULL,NULL
C24D22002140006,NULL,NULL
C24D22003640006,NULL,NULL
C24D22003810006,NULL,NULL
C24E22000620006,NULL,NULL
C24H22000220006,NULL,NULL
C29J21046250001,NULL,NULL
C29J21046260001,NULL,NULL
C29J21046270001,NULL,NULL
C29J21046290001,NULL,NULL
C29J21046300001,NULL,NULL
C29J21046460001,NULL,NULL
C29J21046490001,NULL,NULL
C29J21046550001,NULL,NULL
C29J21055570001,NULL,NULL
C31B24000070005,NULL,NULL
C31I24000490001,NULL,NULL
C31I24000500001,NULL,NULL
C31I24000510001,NULL,NULL
C32H23000120001,NULL,NULL
C33H23000000002,NULL,NULL
C34B21000000008,NULL,NULL
C34D22001340006,NULL,NULL
C34D22001350006,NULL,NULL
C34D22001360006,NULL,NULL
C34D22001380006,NULL,NULL
C34D22001420006,NULL,NULL
C34D22001440006,NULL,NULL
C34D22001450006,NULL,NULL
C34D22001470006,NULL,NULL
C34D22001560006,NULL,NULL
C34D22001570006,NULL,NULL
C34D22001590006,NULL,NULL
C34D22001610006,NULL,NULL
C34D22001620006,NULL,NULL
C34D22001640006,NULL,NULL
C34D22001660006,NULL,NULL
C34D22001670006,NULL,NULL
C34D22001680006,NULL,NULL
C34D22001720006,NULL,NULL
C34D22001760006,NULL,NULL
C34D22001770006,NULL,NULL
C34D22001810006,NULL,NULL
C34D22001820006,NULL,NULL
C34D22001830006,NULL,NULL
C34D22001860006,NULL,NULL
C34D22001870006,NULL,NULL
C34D22001880006,NULL,NULL
